ticker_i,ticker_j,beta,adf_pvalue
IQV,LH,0.9878202214728657,0.04997909622963272
IQV,ZTS,1.2714413775899676,0.004888492995824424
ITW,XYL,2.021120895345955,0.008150331899094117
KEY,TFC,0.3665588255348602,0.03059174060584255
KLAC,MPWR,0.8866163170423251,0.00014211408780067587
KMI,OKE,0.30017591286828627,0.02572992125105566
L,PRU,0.6778820873255187,0.002865012255830959
LMT,NOC,0.9897880090365763,0.03830975175351773
LRCX,MPWR,0.1210597261936935,3.6883663604110796e-05
LVS,WYNN,0.4653263813218556,0.023395096327120102
MCD,MNST,4.913123522922536,0.027108861836639686
MCD,YUM,2.0142652881425476,0.01990765442280178
MDLZ,PEP,0.40854696841621985,0.013048352166299331
MDT,ZBH,0.6862438010106701,0.02275541094891958
MNST,SBUX,0.5180820112378306,0.04879581477020869
