,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
AMAT,-11.059420664105085,17.440224814522757,-2.875258081818894,1.7290995052998923,-4.843058497309783,8.73519389186709,-8.103180170275548,-4.855001504469057,10.476985704124564,7.173622962489202,9.740560406364018,-3.63618635586532,-0.9583427129669871,1.8745671009154357,-4.329995644936992,-0.8466233618500478,3.560991070206497,-0.9879285104546992,0.7157863780929757,1.0419496150351695
AMCR,1.5199789106695367,-5.760884826745169,-2.164668149203736,2.2437525226846518,-4.092391299099896,-2.5204318884461845,3.319852664092721,-0.23556082537921585,1.0031744716531281,3.3779971266951456,-5.837284446695646,-4.571112172003394,0.13338548428248403,-6.174125741221657,1.443065584078342,-5.14459229868293,0.03588380178223931,-2.1126199100069374,-3.4361081332815706,-8.681042790217877
AMD,-4.311429047773404,19.078586828750634,2.1904632081943816,7.718135579081401,-3.465184655324162,3.895967605134007,-6.606147383798841,-2.6029763917265587,1.787913593817798,5.041913356158283,3.409163622046532,0.7750875062460432,3.644943041784537,1.91990578104977,-2.0267105318423475,1.9859894878136763,-0.4384610105119095,-2.5953437469236205,-0.7815303969119898,-1.347368909539698
AME,-7.692812148181656,-0.9353794056413827,0.0013091032400405769,-12.069365660933597,-2.16975688885338,6.708697288350912,8.233371786032071,-2.9319126615314066,1.5838938213797127,-2.639833762777276,0.8411599594839976,1.7137117362174965,-0.7973094345469133,-1.5839470629830565,3.133765005545465,1.2010914231008147,0.8176823094628884,-1.4914065246704378,2.1872147733119145,-2.5295376941310748
AMGN,9.46256059242914,5.7992475383936295,13.987947443863014,-3.6120532865849455,5.601704283852509,-3.5027652309225346,-2.0887763116573628,8.959178135352325,6.088058667430658,-0.09100922207319821,4.9700951892481875,-1.792813352202996,-2.7929305624654654,3.435810151825606,4.437710247785732,-7.033512183664374,-2.363639883168866,5.568808550025641,8.67150540837831,2.8999382078116573
AMP,-12.987316407047881,-6.299472289260817,0.294775584874744,-12.611580133773895,3.8783526251866904,2.29994763123996,-4.717044979685032,0.5470186868451906,-2.610604915787898,4.265489018461099,-0.7779797798207395,0.5836183316601687,-2.0740065121180224,3.0522513695758193,-1.0499375564134996,0.6070215570910324,-0.004978663157716222,-0.013934124083397201,1.9081901045931478,-1.6481459307054644
AMT,21.367460903697353,1.7315316145367508,-8.924579728210123,1.2644293678109295,-0.16148751802085176,5.34837410828617,-0.18314857419641214,8.213095300020667,-9.53476622027662,-2.339036364446346,3.2483241751666494,-4.9286628165133655,1.279447696981071,4.939776322021335,-0.9560026638131301,-0.021783938903446962,2.167488782697643,2.0433853659863117,-1.98874084847451,-4.054688329427612
AMZN,-1.1838020539898415,23.25479946587298,-0.02687332164046117,5.937054871639311,2.57187775947027,1.1085918186997048,-8.833812320799888,-3.4887766797326543,-5.957997386563491,-2.4434245201348714,-3.765409730435262,3.4403813732555695,-5.124197395500342,1.4808183293350652,5.902025950467021,-1.2228544136719959,-5.67719144760838,1.3542156395533202,-4.03093990147162,-7.314180692104338
ANET,-3.788931123832809,17.486107705289353,1.7473893704460686,3.0255935475764524,-0.06873352161075082,4.319245551797555,-5.473790555554433,-2.955231739496149,1.1506125892353014,1.5346400915649294,3.0078702895578715,6.2371874242500285,1.8234262927278753,0.08315848125080245,1.1533659358771458,2.069818936935893,0.3891997016848826,-7.406103204582757,2.229781191074514,-3.9236900438984215
ANSS,-0.5986029391831402,22.274247523786265,-5.051808233874499,-3.2456568920121494,3.3218122377959367,6.116698198496427,-4.251821896864588,-2.1895490982975985,-1.6924462801154097,-0.7955309063732515,1.0896643426642167,0.9051639852618022,-0.7558163278967939,-1.7874118845134137,-1.245951196732345,2.90184415933178,-0.7955261685963277,-0.12623294795271586,-0.6050080469717026,-1.5787659533173704
AON,4.0587327754377975,0.6182336078258911,0.13821723857375592,-7.373857677904882,8.257412781548139,3.2895359861932105,4.312034502400582,-6.0262859530952735,-3.462366326445935,-0.11270076957654523,-3.360675383844487,-1.1005319298279,5.632006052838567,5.06016081926434,-5.391140133770057,-2.8016456842770685,-8.458973789353243,1.7103346817496565,-2.728289429060984,7.709763701897345
AOS,-6.1547333173236565,3.665928788551243,1.1680127233755395,-8.307167549611812,-13.267632230921025,-3.4780138836548202,4.767392593244165,2.393512351381916,0.8600594087721162,-2.47743269190547,1.5923611998744216,1.9837152532298574,3.34727588080304,1.3390370317209985,2.277164275052416,-1.845275217992241,-0.9369858108346784,-1.2872356494306945,-2.5987860385210144,-2.531741995047709
APA,-15.985176687839614,-11.741374068597867,12.065457057207912,18.57456175187713,1.5155356111132208,11.763250482218105,5.918855715513943,2.0292891236851105,-6.56111329072623,-2.961802959153009,-1.590637315666321,-0.6425426424805949,-5.779485845226864,2.3814805569638304,-5.348559203519855,-2.235113862049837,2.893793388197256,-2.5303802456911764,0.4711324345405288,1.1981293799128216
APD,3.312428005836847,-0.5460518123966029,2.328456742656774,-7.303429831688725,-2.627235257451141,5.755811637921842,1.2409812893399026,-0.2018739121822826,2.54536947562226,-3.8916096344069455,-1.8556486741267448,-3.379740801761221,2.07571885329815,-1.2719918616510457,-2.7643809027966326,0.06937929099250675,-3.5641639797540736,1.9307957294861353,-3.7863906433721706,-6.291957035139105
APH,-8.685549255210065,7.578593140771581,-6.626734311249291,-5.712407858510457,-3.1829980037811905,6.93089875315345,-0.03341278349845788,-2.6757650619267346,5.218933423855391,-0.2572565049225231,4.592999849152019,-0.6765739088345686,1.23894739003108,-2.3905927739303663,-1.77923259812562,-0.4756761662600987,0.3745485170294068,-0.048840987032658295,-1.2495840340872915,-1.5946969783474296
APO,-10.211694959949241,1.7110729406796261,-2.9645431793551076,-1.1304485928593044,0.9756975826139869,3.5690394063053206,-1.984886925507066,2.465296791816911,-2.784712120319609,-0.6424956213174979,-3.0877950707175073,3.2562123594734227,0.45845041967004585,7.629012465732158,-0.5491388228436914,3.3110681376357016,1.3218560358658376,-3.670809552397683,2.374806435966868,-6.652492857660515
APTV,-14.98016351850345,1.9882317467737087,-6.674943153419807,3.8989889872934502,-3.3007615713517864,-3.7396294696347008,2.6886338290043263,-1.2035690052245842,2.2313792974489823,4.580915160005584,-1.2238255769193065,-7.280102507042917,2.199747775134077,-2.4744045293598247,-0.44505316619116475,0.7849136473373903,-1.0189581956440255,5.87187408988819,-1.8391705362077604,-1.2129939720468825
ARE,13.702733186090981,-2.193287638574531,-13.59206448700386,1.7695071877019928,-4.894498758736579,0.3093978512236941,-0.8781929980967436,11.222482078264585,-8.908441189162568,-2.304968296656092,7.992212971713975,-0.7283118128334103,-2.1902744050382985,1.0770673916761568,-0.4850714410407779,-0.3556669033177023,0.9106577324043115,2.2909702326462997,-1.5358632084287225,1.060780470582809
ATO,26.930187877034168,-13.103908916848246,-3.724283150826542,-0.2092143431472716,-3.9089431674769943,8.25396369930978,-4.406146644306765,1.1435180404298728,3.392009048847967,0.8433998966735585,-3.6990473921564173,5.569257475573773,-1.8337213411811377,-0.3219909039085039,0.08161581454540688,0.7788002466875005,-0.9239890976291857,-3.895998776415275,1.9067899221077387,1.77946359389126
AWK,30.429321005450873,-4.15555027471121,-8.178998542559198,-0.8123323930352785,-3.5842830099046115,6.330217759287516,-3.5337405151322074,2.481096211522839,0.9002648959450144,1.4589238770291033,-4.978558045514214,3.220430346937317,0.8878364869041058,0.5975206646142197,-1.2305118628048546,1.1296519026568559,-0.14038597352918578,-0.02738778102666194,3.66717553731975,-0.6420794347849089
AXP,-13.203829949392844,-10.196962036503638,-6.326669010902333,-4.192408345464704,7.465643253507314,-1.8281309373043095,-4.925170905866002,-1.1964699817316233,1.2615036497737648,-0.5191236424658164,-2.0659894510485834,-0.018281649441575766,-1.4972273394345752,2.146540436807312,0.2617011491572579,3.5316804877823627,0.1135355052041307,0.3858355287434194,2.8504059453323602,1.3033893756858401
GOOG,-2.9347305524227205,17.891983218636373,-1.9713122638674543,1.6398729614438154,6.910867927362703,3.3067173079372374,-7.82679052115416,-3.6357800524191637,-1.0083891681470976,-4.6070998332439705,-1.5825070193312396,0.1951995087168763,-8.958057818132959,2.3375565713510595,5.329103563330456,-2.9875132757114637,-4.186467119477018,2.267350050773343,-3.022893600115492,-6.87128519378857
GOOGL,-2.629616555990264,17.98501167522055,-2.177393050502654,1.7240299850550522,7.052094869985812,3.5169578362510183,-7.87050347646608,-3.7493850018443906,-0.669253296134201,-4.5501032504305865,-1.3000221856829417,0.2055479769088394,-8.798225039979695,1.9605127052339533,5.274442784047879,-3.1400607412362174,-3.947926491192306,2.3880950805586973,-2.794797960910172,-6.846705101277555
LNT,31.309355354473606,-13.29521130776284,-7.464545207580144,2.138865933392987,-3.296049598226811,8.172046643223148,-3.8031689894577507,0.47397913535239766,5.224041069564641,3.4795087166080987,-6.969785149528808,3.0361355394974927,-0.347732172694738,0.20439074545710664,1.3559838234580266,0.36110407737591244,-1.8970092752015655,-0.7291421145073116,2.4949088368856236,2.6253040356185946
MMM,-1.4357361646259998,-3.1612376720313256,4.024639826222638,-9.345898233815435,-10.023390525832381,-0.008989122680302669,1.5742668365562673,1.8027165162647791,3.8968880061887985,-6.30942229852511,-1.4018468518549485,-2.0949913534563,-1.8264444787382523,-0.6133730221234194,5.278455293151231,-4.880077237883835,-1.4562446410675167,-0.5578688807533372,-3.4839798301243188,1.3060936572983257
